,filename,mAP
194,F:\Datasets\TFMTestRemake\CropInput\1371_Teror_frame_02_43_48_000.jpg,0.0
195,F:\Datasets\TFMTestRemake\CropInput\1372_Teror_frame_02_43_48_000.jpg,1.0
196,F:\Datasets\TFMTestRemake\CropInput\1375_PresaDeHornos_frame_13_29_54_000.jpg,0.0
197,F:\Datasets\TFMTestRemake\CropInput\1376_Teror_frame_03_02_15_000.jpg,1.0
198,F:\Datasets\TFMTestRemake\CropInput\1379_Teror_frame_02_46_56_000.jpg,1.0
199,F:\Datasets\TFMTestRemake\CropInput\137_PresaDeHornos_frame_10_38_51_000.jpg,1.0
200,F:\Datasets\TFMTestRemake\CropInput\1380_PresaDeHornos_frame_12_40_59_000.jpg,1.0
201,F:\Datasets\TFMTestRemake\CropInput\1381_Teror_frame_02_18_34_000.jpg,1.0
202,F:\Datasets\TFMTestRemake\CropInput\1383_Teror_frame_02_23_49_000.jpg,1.0
203,F:\Datasets\TFMTestRemake\CropInput\1387_Teror_frame_02_07_55_000.jpg,1.0
204,F:\Datasets\TFMTestRemake\CropInput\1388_Teror_frame_03_21_50_000.jpg,1.0
205,F:\Datasets\TFMTestRemake\CropInput\1389_Teror_frame_03_15_16_000.jpg,1.0
206,F:\Datasets\TFMTestRemake\CropInput\138_Arucas_frame_01_34_26_000.jpg,1.0
207,F:\Datasets\TFMTestRemake\CropInput\1394_Teror_frame_03_02_19_000.jpg,1.0
208,F:\Datasets\TFMTestRemake\CropInput\1395_PresaDeHornos_frame_13_33_41_000.jpg,0.0
209,F:\Datasets\TFMTestRemake\CropInput\1396_Teror_frame_02_38_14_000.jpg,1.0
210,F:\Datasets\TFMTestRemake\CropInput\1397_Teror_frame_02_38_14_000.jpg,1.0
211,F:\Datasets\TFMTestRemake\CropInput\13_Arucas_frame_01_28_10_000.jpg,1.0
212,F:\Datasets\TFMTestRemake\CropInput\1402_Teror_frame_02_43_41_000.jpg,1.0
213,F:\Datasets\TFMTestRemake\CropInput\1404_PresaDeHornos_frame_13_37_47_000.jpg,0.0
214,F:\Datasets\TFMTestRemake\CropInput\1406_Teror_frame_02_10_10_000.jpg,1.0
215,F:\Datasets\TFMTestRemake\CropInput\1409_Teror_frame_02_10_10_000.jpg,0.0
216,F:\Datasets\TFMTestRemake\CropInput\140_Arucas_frame_01_34_26_000.jpg,1.0
217,F:\Datasets\TFMTestRemake\CropInput\1411_Teror_frame_01_20_03_000.jpg,1.0
218,F:\Datasets\TFMTestRemake\CropInput\1413_Teror_frame_02_48_46_000.jpg,1.0
219,F:\Datasets\TFMTestRemake\CropInput\1417_Teror_frame_03_17_22_000.jpg,1.0
220,F:\Datasets\TFMTestRemake\CropInput\1418_Teror_frame_02_29_08_000.jpg,1.0
221,F:\Datasets\TFMTestRemake\CropInput\1422_Teror_frame_02_49_17_000.jpg,1.0
222,F:\Datasets\TFMTestRemake\CropInput\1423_Teror_frame_02_49_17_000.jpg,0.0
223,F:\Datasets\TFMTestRemake\CropInput\1424_Teror_frame_03_30_16_000.jpg,1.0
224,F:\Datasets\TFMTestRemake\CropInput\1425_PresaDeHornos_frame_12_22_20_000.jpg,1.0
225,F:\Datasets\TFMTestRemake\CropInput\1427_Teror_frame_02_15_10_000.jpg,0.0
226,F:\Datasets\TFMTestRemake\CropInput\1428_Teror_frame_02_15_10_000.jpg,1.0
227,F:\Datasets\TFMTestRemake\CropInput\1431_Teror_frame_03_09_39_000.jpg,1.0
228,F:\Datasets\TFMTestRemake\CropInput\1433_Teror_frame_02_12_30_000.jpg,1.0
229,F:\Datasets\TFMTestRemake\CropInput\1435_Teror_frame_02_12_30_000.jpg,0.0
230,F:\Datasets\TFMTestRemake\CropInput\1436_PresaDeHornos_frame_13_08_23_000.jpg,1.0
231,F:\Datasets\TFMTestRemake\CropInput\1437_Teror_frame_02_49_34_000.jpg,1.0
232,F:\Datasets\TFMTestRemake\CropInput\143_Arucas_frame_01_43_49_000.jpg,1.0
233,F:\Datasets\TFMTestRemake\CropInput\1440_Teror_frame_03_15_13_000.jpg,1.0
234,F:\Datasets\TFMTestRemake\CropInput\1441_Teror_frame_03_14_53_000.jpg,1.0
235,F:\Datasets\TFMTestRemake\CropInput\1442_PresaDeHornos_frame_11_54_42_000.jpg,0.0
236,F:\Datasets\TFMTestRemake\CropInput\1443_Teror_frame_03_03_26_000.jpg,1.0
237,F:\Datasets\TFMTestRemake\CropInput\1445_Teror_frame_02_48_15_000.jpg,1.0
238,F:\Datasets\TFMTestRemake\CropInput\1446_Teror_frame_02_48_15_000.jpg,0.0
239,F:\Datasets\TFMTestRemake\CropInput\1448_PresaDeHornos_frame_12_09_50_000.jpg,1.0
240,F:\Datasets\TFMTestRemake\CropInput\1450_PresaDeHornos_frame_11_39_40_000.jpg,1.0
241,F:\Datasets\TFMTestRemake\CropInput\1452_Teror_frame_03_04_41_000.jpg,1.0
242,F:\Datasets\TFMTestRemake\CropInput\1453_Teror_frame_03_04_41_000.jpg,1.0
243,F:\Datasets\TFMTestRemake\CropInput\1454_Teror_frame_03_04_41_000.jpg,0.0
244,F:\Datasets\TFMTestRemake\CropInput\1455_Teror_frame_02_47_23_000.jpg,1.0
245,F:\Datasets\TFMTestRemake\CropInput\1459_PresaDeHornos_frame_12_41_00_000.jpg,1.0
246,F:\Datasets\TFMTestRemake\CropInput\1461_PresaDeHornos_frame_13_20_22_000.jpg,1.0
247,F:\Datasets\TFMTestRemake\CropInput\1463_PresaDeHornos_frame_13_44_25_000.jpg,1.0
248,F:\Datasets\TFMTestRemake\CropInput\1464_Teror_frame_02_11_17_000.jpg,1.0
249,F:\Datasets\TFMTestRemake\CropInput\1468_PresaDeHornos_frame_13_16_11_000.jpg,1.0
250,F:\Datasets\TFMTestRemake\CropInput\1472_Teror_frame_02_13_00_000.jpg,1.0
251,F:\Datasets\TFMTestRemake\CropInput\1473_Teror_frame_02_38_17_000.jpg,1.0
252,F:\Datasets\TFMTestRemake\CropInput\1476_Teror_frame_03_02_57_000.jpg,1.0
253,F:\Datasets\TFMTestRemake\CropInput\1477_Teror_frame_02_15_17_000.jpg,1.0
254,F:\Datasets\TFMTestRemake\CropInput\1479_PresaDeHornos_frame_13_40_44_000.jpg,1.0
255,F:\Datasets\TFMTestRemake\CropInput\1480_PresaDeHornos_frame_13_40_44_000.jpg,1.0
256,F:\Datasets\TFMTestRemake\CropInput\1481_PresaDeHornos_frame_11_54_51_000.jpg,1.0
257,F:\Datasets\TFMTestRemake\CropInput\1482_Teror_frame_02_30_21_000.jpg,1.0
258,F:\Datasets\TFMTestRemake\CropInput\1488_PresaDeHornos_frame_13_48_41_000.jpg,1.0
259,F:\Datasets\TFMTestRemake\CropInput\1490_Teror_frame_02_00_58_000.jpg,0.5
260,F:\Datasets\TFMTestRemake\CropInput\1491_Teror_frame_02_04_19_000.jpg,1.0
261,F:\Datasets\TFMTestRemake\CropInput\1494_Teror_frame_02_39_56_000.jpg,1.0
262,F:\Datasets\TFMTestRemake\CropInput\1497_Teror_frame_02_42_59_000.jpg,1.0
263,F:\Datasets\TFMTestRemake\CropInput\150_Arucas_frame_01_46_04_000.jpg,1.0
264,F:\Datasets\TFMTestRemake\CropInput\152_Ayagaures_frame_17_58_19_000.jpg,1.0
265,F:\Datasets\TFMTestRemake\CropInput\158_ParqueSur_frame_15_53_56_000.jpg,0.5
266,F:\Datasets\TFMTestRemake\CropInput\161_Arucas_frame_01_46_03_000.jpg,1.0
267,F:\Datasets\TFMTestRemake\CropInput\164_Arucas_frame_01_48_09_000.jpg,1.0
268,F:\Datasets\TFMTestRemake\CropInput\16_Arucas_frame_01_28_10_000.jpg,1.0
269,F:\Datasets\TFMTestRemake\CropInput\172_Arucas_frame_01_51_06_000.jpg,1.0
270,F:\Datasets\TFMTestRemake\CropInput\173_Arucas_frame_01_51_06_000.jpg,1.0
