,filename,mAP
141,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_45_36_000.jpg,0.5
142,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_45_42_000.jpg,1.0
143,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_45_48_000.jpg,1.0
144,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_45_55_000.jpg,1.0
145,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_46_01_000.jpg,1.0
146,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_46_03_000.jpg,1.0
147,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_46_04_000.jpg,1.0
148,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_46_17_000.jpg,1.0
149,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_46_50_000.jpg,1.0
150,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_46_54_000.jpg,0.5
151,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_46_56_000.jpg,1.0
152,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_47_04_000.jpg,1.0
153,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_47_24_000.jpg,0.3333333432674408
154,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_47_39_000.jpg,0.5
155,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_47_59_000.jpg,1.0
156,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_48_06_000.jpg,1.0
157,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_48_08_000.jpg,1.0
158,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_48_09_000.jpg,1.0
159,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_48_10_000.jpg,1.0
160,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_48_22_000.jpg,0.75
161,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_48_25_000.jpg,0.5
162,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_48_28_000.jpg,1.0
163,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_48_48_000.jpg,1.0
164,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_49_02_000.jpg,1.0
165,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_49_03_000.jpg,1.0
166,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_49_04_000.jpg,1.0
167,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_49_21_000.jpg,1.0
168,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_49_44_000.jpg,1.0
169,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_49_46_000.jpg,1.0
170,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_49_52_000.jpg,0.6666666865348816
171,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_49_55_000.jpg,1.0
172,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_49_56_000.jpg,1.0
173,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_50_04_000.jpg,1.0
174,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_50_35_000.jpg,1.0
175,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_50_42_000.jpg,1.0
176,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_50_44_000.jpg,0.8333333134651184
177,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_50_46_000.jpg,1.0
178,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_50_48_000.jpg,0.3333333432674408
179,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_50_52_000.jpg,1.0
180,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_50_54_000.jpg,0.5
